"BAIRRO","CONFIRMADO","ÓBITO","RECUPERADO","% RECUPERADO"
"13 DE JULHO","1836","15","1820","99,10%"
"17 DE MARÇO","723","3","720","99,60%"
"18 DO FORTE","3220","52","3168","98,40%"
"AEROPORTO","2718","24","2694","99,10%"
"AMÉRICA","1989","33","1956","98,30%"
"ATALAIA","4003","39","3962","99,00%"
"BUGIO","3833","50","3783","98,70%"
"CAPUCHO","115","1","114","99,10%"
"CENTRO","2545","44","2501","98,30%"
"CIDADE NOVA","2906","43","2863","98,50%"
"CIRURGIA","880","12","867","98,50%"
"COROA DO MEIO","3970","32","3938","99,20%"
"DOM LUCIANO","675","6","669","99,10%"
"FAROLÂNDIA","11010","79","10929","99,30%"
"GETÚLIO VARGAS","1205","22","1183","98,20%"
"GRAGERU","3454","43","3410","98,70%"
"INÁCIO BARBOSA","3837","31","3806","99,20%"
"INDUSTRIAL","2944","41","2903","98,60%"
"JABUTIANA","8550","53","8495","99,40%"
"JAPÃOZINHO","612","6","606","99,00%"
"JARDIM CENTENÁRIO","2102","16","2086","99,20%"
"JARDINS","3152","12","3138","99,60%"
"JOSÉ CONRADO DE ARAÚJO","2071","36","2035","98,30%"
"LAMARÃO","1677","26","1651","98,40%"
"LUZIA","6437","64","6371","99,00%"
"MARIVAN","336","2","334","99,40%"
"NOVO PARAÍSO","1610","32","1578","98,00%"
"OLARIA","3203","37","3166","98,80%"
"PALESTINA","809","13","795","98,30%"
"PEREIRA LOBO","823","10","813","98,80%"
"PONTO NOVO","4784","56","4728","98,80%"
"PORTO DANTAS","1795","27","1768","98,50%"
"SALGADO FILHO","832","12","820","98,60%"
"SANTA MARIA","5382","60","5320","98,80%"
"SANTO ANTÔNIO","2349","24","2324","98,90%"
"SANTOS DUMONT","5680","84","5595","98,50%"
"SÃO CONRADO","6558","66","6490","99,00%"
"SÃO JOSÉ","1264","13","1251","99,00%"
"SIQUEIRA CAMPOS","3114","55","3059","98,20%"
"SOLEDADE","1326","18","1308","98,60%"
"SUISSA","2369","32","2337","98,60%"
"Z. DE EXP (ARUANA)","3953","26","3926","99,30%"
"Z. DE EXP (MOSQUEIRO)","1654","13","1641","99,20%"
"Z. DE EXP (NÃO ESPECIFICADO)","181","3","178","98,30%"
"Z. de Exp (Pov Areia Branca)","126","2","124","98,40%"
"Z. DE EXP (ROBALO)","1047","6","1041","99,40%"
"NÃO IDENTIFICADO","24504","1157","23328","95,20%"
"OUTRAS CIDADES","0","0","0","-"
"TOTAL (ARACAJU)","150.163","2.531","147.592","98,30%"
