BAIRRO,CONFIRMADO,ÓBITO,RECUPERADO,% RECUPERADO
13 DE JULHO,1836.0,15.0,1820.0,"99,10%"
17 DE MARÇO,723.0,3.0,720.0,"99,60%"
18 DO FORTE,3220.0,52.0,3168.0,"98,40%"
AEROPORTO,2718.0,24.0,2694.0,"99,10%"
AMÉRICA,1989.0,33.0,1956.0,"98,30%"
ATALAIA,4003.0,39.0,3962.0,"99,00%"
BUGIO,3833.0,50.0,3783.0,"98,70%"
CAPUCHO,115.0,1.0,114.0,"99,10%"
CENTRO,2545.0,44.0,2501.0,"98,30%"
CIDADE NOVA,2906.0,43.0,2863.0,"98,50%"
CIRURGIA,880.0,12.0,867.0,"98,50%"
COROA DO MEIO,3970.0,32.0,3938.0,"99,20%"
DOM LUCIANO,675.0,6.0,669.0,"99,10%"
FAROLÂNDIA,11010.0,79.0,10929.0,"99,30%"
GETÚLIO VARGAS,1205.0,22.0,1183.0,"98,20%"
GRAGERU,3454.0,43.0,3410.0,"98,70%"
INÁCIO BARBOSA,3837.0,31.0,3806.0,"99,20%"
INDUSTRIAL,2944.0,41.0,2903.0,"98,60%"
JABUTIANA,8550.0,53.0,8495.0,"99,40%"
JAPÃOZINHO,612.0,6.0,606.0,"99,00%"
JARDIM CENTENÁRIO,2102.0,16.0,2086.0,"99,20%"
JARDINS,3152.0,12.0,3138.0,"99,60%"
JOSÉ CONRADO DE ARAÚJO,2071.0,36.0,2035.0,"98,30%"
LAMARÃO,1677.0,26.0,1651.0,"98,40%"
LUZIA,6437.0,64.0,6371.0,"99,00%"
MARIVAN,336.0,2.0,334.0,"99,40%"
NOVO PARAÍSO,1610.0,32.0,1578.0,"98,00%"
OLARIA,3203.0,37.0,3166.0,"98,80%"
PALESTINA,809.0,13.0,795.0,"98,30%"
PEREIRA LOBO,823.0,10.0,813.0,"98,80%"
PONTO NOVO,4784.0,56.0,4728.0,"98,80%"
PORTO DANTAS,1795.0,27.0,1768.0,"98,50%"
SALGADO FILHO,832.0,12.0,820.0,"98,60%"
SANTA MARIA,5382.0,60.0,5320.0,"98,80%"
SANTO ANTÔNIO,2349.0,24.0,2324.0,"98,90%"
SANTOS DUMONT,5680.0,84.0,5595.0,"98,50%"
SÃO CONRADO,6558.0,66.0,6490.0,"99,00%"
SÃO JOSÉ,1264.0,13.0,1251.0,"99,00%"
SIQUEIRA CAMPOS,3114.0,55.0,3059.0,"98,20%"
SOLEDADE,1326.0,18.0,1308.0,"98,60%"
SUISSA,2369.0,32.0,2337.0,"98,60%"
Z. DE EXP (ARUANA),3953.0,26.0,3926.0,"99,30%"
Z. DE EXP (MOSQUEIRO),1654.0,13.0,1641.0,"99,20%"
Z. DE EXP (NÃO ESPECIFICADO),181.0,3.0,178.0,"98,30%"
Z. de Exp (Pov Areia Branca),126.0,2.0,124.0,"98,40%"
Z. DE EXP (ROBALO),1047.0,6.0,1041.0,"99,40%"
